Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-27,617.2125695215802,621.5771766419779,611.8813407774196,612.260009765625,871000,0.0,0.0
2024-09-30,610.3368642034856,616.8439380622542,606.8890662924499,616.3955078125,1041300,0.0,0.0
2024-10-01,617.8205189611377,617.8205189611377,608.4236754631523,610.7853393554688,1169200,0.0,0.0
2024-10-02,607.8555702452204,614.4024809805946,603.2020044667148,610.5659790039062,665400,0.0,0.0
2024-10-03,607.7160696704161,609.3403443969427,597.2430070324708,598.8074951171875,1258200,0.0,0.0
2024-10-04,600.511502677656,601.8667070990575,594.4329711147933,596.505615234375,871500,0.0,0.0
2024-10-07,590.2377988337201,597.1832676932519,590.2377988337201,596.7448120117188,1165800,0.0,0.0
2024-10-08,596.9441320229648,600.1827072146984,592.6194225956923,593.3568115234375,883500,0.0,0.0
2024-10-09,592.0214868668819,597.9605573370126,591.0250022066947,597.1434326171875,890900,0.0,0.0
2024-10-10,595.070698536774,595.070698536774,587.7963730355115,591.7025756835938,1221100,0.0,0.0
2024-10-11,593.546064621599,600.2922235837026,592.2207231567176,594.821533203125,2138200,0.0,0.0
2024-10-14,598.677965610266,602.4147828894256,593.1375136238559,601.6674194335938,1006400,0.0,0.0
2024-10-15,602.8731669736109,608.4136187695034,597.2729285361314,598.408935546875,1290600,0.0,0.0
2024-10-16,588.1949903100609,594.702003187789,585.2055364795386,589.470458984375,1369300,0.0,0.0
2024-10-17,602.215566298603,606.2513170082419,594.7717942602942,597.1434326171875,1946100,0.0,0.0
2024-10-18,597.9207007205617,602.2653591030638,593.466382805293,599.5947875976562,1081600,0.0,0.0
2024-10-21,595.788199259021,598.4687452980951,589.7395303657768,593.2770385742188,914600,0.0,0.0
2024-10-22,585.4247478975788,589.1217277851345,582.1064370365909,584.3186645507812,1619600,0.0,0.0
2024-10-23,572.5601201423267,576.6556571200874,564.0900013138663,574.46337890625,2058300,0.0,0.0
2024-10-24,570.3479131621723,572.8092617599568,555.3010199749253,555.4205932617188,1757500,0.0,0.0
2024-10-25,558.1907401891938,560.2434958610502,551.3648455771098,552.4310913085938,1090400,0.0,0.0
2024-10-28,557.2840289733083,557.4036022631847,548.5149763990006,550.5975952148438,1116700,0.0,0.0
2024-10-29,549.0232098832882,551.6638577385559,545.3262299011974,545.8444213867188,1638300,0.0,0.0
2024-10-30,545.5752991955313,552.7898377129594,544.8279357719758,548.684326171875,1452200,0.0,0.0
2024-10-31,546.631590874983,550.149210714151,542.5758912461145,544.3994750976562,1472400,0.0,0.0
2024-11-01,548.0664779118957,562.8841976399758,545.3659830071365,555.9586181640625,1459700,0.0,0.0
2024-11-04,554.723041213641,557.5929217344491,548.2160283861135,553.5172729492188,815100,0.0,0.0
2024-11-05,548.4750880100469,559.805174405844,548.3057026497571,558.818603515625,998400,0.0,0.0
2024-11-06,568.1955002648906,568.1955002648906,547.2693247999375,557.7124633789062,1423100,0.0,0.0
2024-11-07,563.0137503400967,563.8906615779549,552.2517297543505,553.935791015625,1303800,0.0,0.0
2024-11-08,555.2711058768565,556.5864728749996,547.0700569089179,549.8004150390625,1620400,0.0,0.0
2024-11-11,547.1497551461724,551.9826808978237,543.1538423591361,544.997314453125,1565800,0.0,0.0
2024-11-12,547.2294689796269,548.2259536029437,538.151508658153,538.8490600585938,1723800,0.0,0.0
2024-11-13,538.1017109891435,542.8848251449277,536.1087416891836,539.9950561523438,1212200,0.0,0.0
2024-11-14,538.0020591387262,540.4733214807854,529.820898688406,531.146240234375,1764800,0.0,0.0
2024-11-15,527.5389726744961,527.5389726744961,509.9011830533907,511.2763366699219,3953000,0.0,0.0
2024-11-18,509.20365900453,510.9674563075084,496.8571995248742,499.5278015136719,3162200,0.0,0.0
2024-11-19,494.4456922342748,509.5025598254055,491.56583716588773,507.3302307128906,3658700,0.0,0.0
2024-11-20,505.2973791816408,512.0435687301991,500.96269565777214,511.03717041015625,1533900,0.0,0.0
2024-11-21,512.3126854142105,514.4052788592304,505.6760939697832,514.2857055664062,1956800,0.0,0.0
2024-11-22,512.8109235153784,515.1825618378424,505.3871311509345,511.4557189941406,1833500,0.0,0.0
2024-11-25,510.49904994562047,514.5248866668638,507.5693827800178,512.3923950195312,3063500,0.0,0.0
2024-11-26,512.3924091356101,512.3924091356101,505.48674753484494,511.1766662597656,1748500,0.0,0.0
2024-11-27,513.5981426194018,527.0008737415689,513.1696615050884,519.826171875,2914100,0.0,0.0
2024-11-29,521.291038025359,531.295722365341,521.161490150687,527.7681884765625,2108300,0.0,0.0
2024-12-02,526.8414303587567,532.9598605178614,524.7487761659863,528.0870361328125,2558600,0.0,0.0
2024-12-03,528.3859967528318,534.0958344545852,526.0841195958415,532.5413208007812,2665200,0.0,0.0
2024-12-04,530.6777977762337,534.6438473655016,522.9949413589243,527.0107421875,2579700,0.0,0.0
2024-12-05,525.3566440799805,525.5558923344864,515.8601170779771,519.0289306640625,2665300,0.0,0.0
2024-12-06,521.1614568788731,529.4522162255896,520.1649722576898,527.4990844726562,1869700,0.0,0.0
2024-12-09,527.8280184544539,536.1985148221554,524.7887520804371,535.3414916992188,2106600,0.0,0.0
2024-12-10,537.6333644016889,540.4932703325615,532.6509414112361,533.9662475585938,1938000,0.0,0.0
2024-12-11,533.1192099924226,538.131556244738,531.7640056630277,532.4814453125,1389200,0.0,0.0
2024-12-12,529.462183540648,530.0202124880326,522.2077464040547,523.1544189453125,2539200,0.0,0.0
2024-12-13,522.1971000593845,526.624783227648,515.7151350214108,525.4281005859375,1553500,0.39,0.0
2024-12-16,525.876876160199,533.2463257054849,525.2585404074915,528.7887573242188,2595600,0.0,0.0
2024-12-17,524.5505765908003,534.4530181544968,524.5505765908003,527.3727416992188,2544800,0.0,0.0
2024-12-18,526.5349519036861,531.8601617209372,514.4685502688804,514.7477416992188,1774300,0.0,0.0
2024-12-19,517.2807446594887,520.9804729080797,507.44811654980873,515.2564086914062,2235600,0.0,0.0
2024-12-20,515.256383089964,524.9693485349741,513.5710697661959,522.595947265625,2758900,0.0,0.0
2024-12-23,518.7367122372882,524.7798958544448,518.1483833236999,523.83251953125,1558100,0.0,0.0
2024-12-24,521.7982464247506,527.5123291015625,520.8508700201428,527.5123291015625,488700,0.0,0.0
2024-12-26,523.1444265520283,525.8668933143058,522.24696020112,525.71728515625,777700,0.0,0.0
2024-12-27,522.5460877668526,526.8142415161075,521.548862408519,524.6103515625,943200,0.0,0.0
2024-12-30,521.2396836034803,521.4790079319529,514.338901714055,517.400390625,1035500,0.0,0.0
2024-12-31,518.8763371272267,523.2840564351599,515.7250707194921,518.7865600585938,1262900,0.0,0.0
2025-01-02,517.7295262690332,524.6402914195311,516.6525665930315,521.1201171875,1816800,0.0,0.0
2025-01-03,522.865236415745,535.3006081137681,521.2896032190679,530.5438842773438,1515200,0.0,0.0
