Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-05 00:00:00-04:00,248.95833510353233,250.28767258326076,247.87713953820227,250.0040740966797,2330700,0.0,0.0
2020-10-06 00:00:00-04:00,250.3585378021361,250.80165025842308,244.39423440415584,245.0146026611328,2992500,0.0,0.0
2020-10-07 00:00:00-04:00,248.89623082432874,251.6878334268426,248.14293436449267,250.61550903320312,3423700,0.0,0.0
2020-10-08 00:00:00-04:00,251.54613135217363,252.52985528546122,249.1799254597993,252.1487579345703,2256200,0.0,0.0
2020-10-09 00:00:00-04:00,252.99057708773555,254.59464170019197,251.76758262178916,253.38938903808594,2240100,0.0,0.0
2020-10-12 00:00:00-04:00,254.69224348583958,255.5252701948098,253.51354896194948,254.266845703125,2411900,0.0,0.0
2020-10-13 00:00:00-04:00,253.19443500118004,257.68757416176305,253.19443500118004,257.32421875,2699900,0.0,0.0
2020-10-14 00:00:00-04:00,256.5710377291022,257.27113608640207,252.70708222384567,254.42636108398438,2221000,0.0,0.0
2020-10-15 00:00:00-04:00,251.79418776195544,257.2267501545036,250.9079629552216,254.82508850097656,2699400,0.0,0.0
2020-10-16 00:00:00-04:00,255.45428109388,259.3536645375708,254.56805635461242,254.93141174316406,3108600,0.0,0.0
2020-10-19 00:00:00-04:00,256.7925903783069,257.1027475230238,251.1384699846444,251.4486541748047,2428100,0.0,0.0
2020-10-20 00:00:00-04:00,252.69823717227402,256.8191784647552,251.80314116964914,253.49583435058594,2281500,0.0,0.0
2020-10-21 00:00:00-04:00,252.91974432179924,255.2504931563279,251.0497956664639,252.13986206054688,2304500,0.0,0.0
2020-10-22 00:00:00-04:00,251.62582316639325,253.17671670318146,248.71900664783058,249.17098999023438,2787000,0.0,0.0
2020-10-23 00:00:00-04:00,250.25215020474351,250.9699900913984,247.74411900705485,250.80160522460938,1750600,0.0,0.0
2020-10-26 00:00:00-04:00,247.82396017901732,249.4989112856174,241.05318851966865,244.633544921875,2911900,0.0,0.0
2020-10-27 00:00:00-04:00,245.47541183853698,247.9036863114257,244.70440054853185,245.3424835205078,3014100,0.0,0.0
2020-10-28 00:00:00-04:00,239.50221446767634,242.53311470616504,238.11970616111807,239.0325164794922,3255900,0.0,0.0
2020-10-29 00:00:00-04:00,239.00602167799798,242.5597925716008,236.89680185721943,238.95285034179688,2872500,0.0,0.0
2020-10-30 00:00:00-04:00,238.23499999686624,238.94396914597255,232.21752495183657,236.36505126953125,3872800,0.0,0.0
2020-11-02 00:00:00-05:00,239.41366921167983,243.51689513248766,237.96911818949238,239.93653869628906,2956400,0.0,0.0
2020-11-03 00:00:00-05:00,243.5789783055797,247.72650535353276,242.57753959819937,245.812255859375,3037500,0.0,0.0
2020-11-04 00:00:00-05:00,245.27161957830475,254.3820107507736,244.60695088270992,250.5535125732422,3525300,0.0,0.0
2020-11-05 00:00:00-05:00,255.54295482378737,256.1189955985721,251.758757199116,253.327392578125,2516600,0.0,0.0
2020-11-06 00:00:00-05:00,254.10729226961791,254.15159269939898,250.6687351008973,251.90057373046875,2839100,0.0,0.0
2020-11-09 00:00:00-05:00,255.2150215349716,255.604962601278,238.81099222485815,239.2541046142578,7856400,0.0,0.0
2020-11-10 00:00:00-05:00,241.753351588557,244.41202687741472,238.61610717498067,244.21705627441406,4828500,0.0,0.0
2020-11-11 00:00:00-05:00,245.76787086254663,249.64066895596102,244.74871773987468,246.14894104003906,2987900,0.0,0.0
2020-11-12 00:00:00-05:00,250.80166517672887,251.4131625664133,242.68384124923077,244.81077575683594,3818600,0.0,0.0
2020-11-13 00:00:00-05:00,244.97037141107626,247.90377453642722,243.94234697673323,245.63504028320312,3939200,0.0,0.0
2020-11-16 00:00:00-05:00,247.41627640006112,249.2862251183924,244.95257210743608,247.7619171142578,5360200,0.0,0.0
2020-11-17 00:00:00-05:00,241.14179716399883,242.4090922615155,238.748979150902,241.46969604492188,8532200,0.0,0.0
2020-11-18 00:00:00-05:00,239.72381794001194,244.0485994633898,238.39448068710982,239.13003540039062,5122200,0.0,0.0
